kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.243380573,170.679233,0.915,1.1196,8.2170e+02,1.99,822,107.6,38.9,1,472,1,q1_q17_dr25_tce,4149,4.698,-0.32,0.564,0.578,,15.135
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.40599802,177.197466,0.324,6.5036,1.4489e+04,11.23,833,113.94,745.2,1,117,1,q1_q17_dr25_tce,5746,4.393,-0.54,0.924,0.77,,15.562
11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.337437946,171.761982,0.28,1.9982,9.7120e+02,2.34,1070,311.16,82.4,2,578,1,q1_q17_dr25_tce,5005,4.595,0.14,0.765,0.85,,15.334
11918099,K00780.02,,CANDIDATE,CANDIDATE,0.993,0,0,0,0,7.2406612,137.75545,1.198,0.558,5.5640e+02,19.45,734,68.63,13.7,2,168,2,q1_q17_dr25_tce,5005,4.595,0.14,0.765,0.85,,15.334
9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631,132.6624,0.624,3.133,2.3200e+01,0.55,1272,617.61,8.7,3,357,3,q1_q17_dr25_tce,5779,4.339,-0.06,1.087,0.941,,12.791
11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2.8045e+03,2.65,396,5.82,71,1,115,1,q1_q17_dr25_tce,3688,4.79,0,0.473,0.503,,15.937
11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.575315881,173.634044,0.39,4.3084,2.7933e+03,5.31,1015,251.38,221.1,1,205,1,q1_q17_dr25_tce,5992,4.415,-0.32,0.989,0.927,,15.312
12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3.0010e+03,4.86,833,113.64,312.1,1,188,1,q1_q17_dr25_tce,5485,4.556,0.21,0.867,0.986,,15.08
12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1.2198e+03,1.93,393,5.66,37.1,2,67,1,q1_q17_dr25_tce,4077,4.702,-0.24,0.56,0.576,,15.385
12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.06524317,136.28906,0.628,1.369,1.0533e+03,1.91,488,13.43,30.3,2,126,2,q1_q17_dr25_tce,4077,4.702,-0.24,0.56,0.576,,15.385
12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.3935651,178.74725,0.883,3.8896,9.1660e+02,2.66,677,49.68,35.8,1,107,1,q1_q17_dr25_tce,5557,4.603,-0.4,0.75,0.832,,15.505
8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,0,0,0,0,43.84439721,151.93538,0.852,6.802,6.1520e+02,2.87,531,18.77,83.7,4,29,2,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,,12.882
3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.341913228,171.63943,1.213,3.813,7.2530e+02,21.55,1032,268.67,39,1,780,1,q1_q17_dr25_tce,5295,4.551,-0.02,0.811,0.853,,15.629
