koi_score,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_disposition
0.998,0,0,0,7.95825328,137.80219,0.706,4.377,50.0,1.06,1074.0,314.15,14.7,4,109.0,4.0,5847.0,4.191,0.26,1.402,1.113,12.487,CONFIRMED
1.0,0,0,0,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481.0,12.61,117.2,5,46.0,1.0,5251.0,4.581,0.21,0.817,0.926,15.855,CONFIRMED
0.006,1,0,0,3.9043425,173.393734,0.709,3.831,16228.0,12.28,1104.0,351.05,323.4,1,275.0,1.0,5810.0,4.526,-0.06,0.898,0.989,15.016,FALSE POSITIVE
0.0,1,0,0,9.286358079,171.8214689,0.377,3.49949,44791.0,17.61,796.0,95.03,1671.1,1,117.0,1.0,5670.0,4.523,-0.4,0.821,0.82,15.365,FALSE POSITIVE
0.0,1,0,0,3.951405455,173.276125,1.276,2.1862,2453.9,31.44,1133.0,388.71,117.2,1,272.0,1.0,6046.0,4.539,-0.38,0.869,0.953,15.446,FALSE POSITIVE
0.999,0,0,0,23.65369415,171.376107,0.008,8.2183,3341.8,7.89,731.0,67.65,266.3,5,57.0,1.0,5739.0,4.191,0.3,1.384,1.083,15.084,CONFIRMED
0.996,0,0,0,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888.0,146.67,49.1,5,97.0,2.0,5739.0,4.191,0.3,1.384,1.083,15.084,CONFIRMED
0.997,0,0,0,6.15560285,134.81656,0.235,4.9843,285.0,2.32,1146.0,406.94,35.1,5,203.0,3.0,5739.0,4.191,0.3,1.384,1.083,15.084,CONFIRMED
1.0,0,0,0,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642.0,1718.04,19.9,5,527.0,5.0,5739.0,4.191,0.3,1.384,1.083,15.084,CONFIRMED
0.995,0,0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458.0,1066.86,50.4,4,323.0,2.0,5847.0,4.191,0.26,1.402,1.113,12.487,CONFIRMED
0.989,0,0,0,50.4467417,178.5014,0.379,7.159,370.3,2.67,568.0,24.64,19.4,5,22.0,4.0,5739.0,4.191,0.3,1.384,1.083,15.084,CONFIRMED
1.0,0,0,0,11.76307164,180.93613,0.048,2.9076,1037.3,2.35,616.0,33.99,48.9,2,88.0,1.0,4959.0,4.603,0.16,0.756,0.849,15.208,CONFIRMED
0.878,0,0,0,56.2279271,132.29259,0.7,3.57,862.7,2.37,366.0,4.22,20.9,2,18.0,2.0,4959.0,4.603,0.16,0.756,0.849,15.208,CONFIRMED
0.0,1,1,1,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010.0,244.87,50.5,1,549.0,1.0,4794.0,4.58,-0.22,0.701,0.683,15.836,FALSE POSITIVE
1.0,0,0,0,7.953547,174.66224,0.3,2.6312,875.4,2.25,696.0,55.37,38.4,2,166.0,1.0,4768.0,4.536,0.18,0.779,0.759,15.66,CONFIRMED
1.0,0,0,0,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864.0,132.08,22.8,2,316.0,2.0,4768.0,4.536,0.18,0.779,0.759,15.66,CONFIRMED
0.0,1,0,0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114.0,364.23,269.7,1,273.0,1.0,6072.0,4.47,-0.1,0.988,1.05,15.311,FALSE POSITIVE
